timestamp,ip_address,action,data_size_kb
2024-02-04 08:23:15,192.168.1.105,outbound,1544
2024-02-04 08:45:22,192.168.1.107,inbound,768
2024-02-04 09:15:22,192.168.1.105,outbound,2048
2024-02-04 09:30:01,192.168.1.108,inbound,1024
2024-02-04 10:45:33,192.168.1.107,outbound,3072
2024-02-04 11:20:55,192.168.1.105,inbound,512
2024-02-04 11:40:23,192.168.1.108,outbound,2560
2024-02-04 12:05:11,192.168.1.107,inbound,1024
2024-02-04 13:30:22,192.168.1.105,outbound,3584
2024-02-04 13:45:33,192.168.1.108,inbound,1792
2024-02-04 14:15:18,192.168.1.106,outbound,5120
2024-02-04 14:30:45,192.168.1.107,inbound,2304
2024-02-04 15:10:33,192.168.1.105,outbound,1536
2024-02-04 15:45:22,192.168.1.106,inbound,4096
2024-02-04 16:20:11,192.168.1.108,outbound,3072
2024-02-04 16:55:33,192.168.1.107,inbound,2816
2024-02-04 17:30:42,192.168.1.106,outbound,6144
2024-02-04 17:45:18,192.168.1.105,inbound,1280
2024-02-04 18:15:22,192.168.1.108,outbound,4608
2024-02-04 18:45:33,192.168.1.107,inbound,2048
2024-02-04 19:20:11,192.168.1.106,outbound,3584
